time	V(N021,Vo_led7)	V(Vcc_led,Vi_led7)	I(D28)
5.193352019723154e-06	5.108324e+00	3.495321e+00	6.990645e+00
5.193938102921742e-06	5.108323e+00	3.495322e+00	6.990645e+00
5.194524186120329e-06	5.108323e+00	3.495323e+00	6.990645e+00
5.195202252009745e-06	5.108923e+00	3.495346e+00	6.992514e+00
5.195727672166840e-06	5.110507e+00	3.495426e+00	6.997428e+00
5.196092734887858e-06	5.111791e+00	3.495556e+00	7.001357e+00
5.196332425223764e-06	5.112089e+00	3.495667e+00	7.002220e+00
5.196551326364946e-06	5.112010e+00	3.495773e+00	7.001928e+00
5.196784251304888e-06	5.111912e+00	3.495876e+00	7.001606e+00
5.197250101184771e-06	5.111730e+00	3.496071e+00	7.001038e+00
5.198181800944537e-06	5.111366e+00	3.496399e+00	6.999923e+00
5.199181800944538e-06	5.110983e+00	3.496681e+00	6.998752e+00
5.200181800944537e-06	5.110603e+00	3.496891e+00	6.997593e+00
5.201181800944538e-06	5.110224e+00	3.497032e+00	6.996435e+00
5.202181800944537e-06	5.109840e+00	3.497108e+00	6.995264e+00
5.203181800944537e-06	5.109449e+00	3.497128e+00	6.994066e+00
5.204181800944538e-06	5.109043e+00	3.497093e+00	6.992827e+00
5.205181800944537e-06	5.108617e+00	3.497005e+00	6.991528e+00
5.206181800944538e-06	5.108164e+00	3.496868e+00	6.990145e+00
5.207181800944537e-06	5.107676e+00	3.496681e+00	6.988651e+00
5.208181800944537e-06	5.107139e+00	3.496437e+00	6.987011e+00
5.209181800944538e-06	5.106539e+00	3.496143e+00	6.985176e+00
5.210181800944537e-06	5.105853e+00	3.495789e+00	6.983079e+00
5.211181800944538e-06	5.105049e+00	3.495365e+00	6.980623e+00
5.212181800944537e-06	5.104079e+00	3.494858e+00	6.977660e+00
5.213181800944538e-06	5.102865e+00	3.494255e+00	6.973943e+00
5.214181800944537e-06	5.101263e+00	3.493515e+00	6.969031e+00
5.215181800944537e-06	5.098969e+00	3.492577e+00	6.962000e+00
5.216181800944538e-06	5.095170e+00	3.491318e+00	6.950339e+00
5.217181800944537e-06	5.085389e+00	3.489254e+00	6.920228e+00
5.218181800944538e-06	5.059448e+00	3.484978e+00	6.840392e+00
5.219181800944537e-06	5.012408e+00	3.476196e+00	6.696147e+00
5.220181800944537e-06	4.951837e+00	3.461014e+00	6.511135e+00
5.221181800944538e-06	4.886174e+00	3.438778e+00	6.311012e+00
5.222181800944537e-06	4.802309e+00	3.409019e+00	6.054924e+00
5.223004123656397e-06	4.709125e+00	3.377537e+00	5.770578e+00
