time	V(Vcc_led,Vi_led5)	V(Vi_led5,N001)	I(D6)
5.708210108030938e-06	0.000000e+00	5.340576e-05	1.151602e-08
5.709210108030938e-06	0.000000e+00	5.340576e-05	1.190347e-08
5.710210108030938e-06	0.000000e+00	5.340576e-05	1.117951e-08
5.711210108030938e-06	0.000000e+00	5.340576e-05	1.156150e-08
5.712210108030938e-06	0.000000e+00	5.340576e-05	1.085209e-08
5.713210108030938e-06	0.000000e+00	5.340576e-05	1.123408e-08
5.714210108030938e-06	0.000000e+00	5.340576e-05	1.053741e-08
5.715210108030938e-06	0.000000e+00	5.340576e-05	1.091576e-08
5.716210108030938e-06	0.000000e+00	5.340576e-05	1.023182e-08
5.717210108030938e-06	0.000000e+00	5.340576e-05	1.060471e-08
5.718210108030938e-06	0.000000e+00	5.340576e-05	9.931682e-09
5.719210108030938e-06	0.000000e+00	4.959106e-05	1.030276e-08
5.720210108030938e-06	0.000000e+00	4.959106e-05	9.642463e-09
5.721210108030938e-06	0.000000e+00	4.959106e-05	1.001172e-08
5.722210108030938e-06	0.000000e+00	4.959106e-05	9.364157e-09
5.723210108030938e-06	0.000000e+00	4.959106e-05	9.727955e-09
5.724210108030938e-06	0.000000e+00	4.959106e-05	9.091309e-09
5.725210108030938e-06	0.000000e+00	4.959106e-05	9.451469e-09
5.726210108030938e-06	0.000000e+00	4.959106e-05	8.823918e-09
5.727210108030938e-06	0.000000e+00	4.959106e-05	9.182259e-09
5.728210108030938e-06	0.000000e+00	4.959106e-05	8.569259e-09
5.729210108030938e-06	0.000000e+00	4.959106e-05	8.923962e-09
5.730210108030938e-06	0.000000e+00	4.959106e-05	8.320058e-09
5.731210108030938e-06	0.000000e+00	4.959106e-05	8.671122e-09
5.732210108030938e-06	0.000000e+00	4.959106e-05	8.076313e-09
5.733210108030938e-06	0.000000e+00	5.340576e-05	8.421921e-09
5.734210108030938e-06	0.000000e+00	5.340576e-05	7.839844e-09
5.735210108030938e-06	0.000000e+00	5.340576e-05	8.185452e-09
5.736210108030938e-06	0.000000e+00	5.340576e-05	7.612471e-09
