time	V(N025,Vo_led6)	V(Vcc_led,Vi_led6)	I(D12)
5.167121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.168121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.169121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.170121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.171121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.172121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.173121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.174121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.175121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.176121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.177121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.178121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.179121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.180121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.181121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.182121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.183121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.184121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.185121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.186121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.187121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.188121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.189121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.190121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.192121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.194121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.196121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.198121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.200121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.202121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.204121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.206121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.208121767870191e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.211121767870191e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.214121767870190e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.215121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.215200000000000e-06	6.286502e+00	1.488041e+00	9.920271e+00
5.215356464259619e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.215669392778858e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.216200000000000e-06	6.286499e+00	1.488041e+00	9.920264e+00
5.216253060722114e-06	6.286551e+00	1.488041e+00	9.920420e+00
5.216359182166343e-06	6.286664e+00	1.488041e+00	9.920759e+00
5.216571425054800e-06	6.286903e+00	1.488052e+00	9.921471e+00
5.216995910831714e-06	6.287363e+00	1.488091e+00	9.922833e+00
5.217844882385543e-06	6.288204e+00	1.488220e+00	9.925318e+00
5.218844882385542e-06	6.289079e+00	1.488426e+00	9.927900e+00
5.219844882385543e-06	6.289822e+00	1.488670e+00	9.930095e+00
5.220844882385542e-06	6.290429e+00	1.488930e+00	9.931888e+00
5.221844882385543e-06	6.290922e+00	1.489185e+00	9.933345e+00
5.222100000000000e-06	6.291021e+00	1.489246e+00	9.933638e+00
5.222610235228915e-06	6.291171e+00	1.489365e+00	9.934078e+00
5.223100000000000e-06	6.291286e+00	1.489475e+00	9.934418e+00
5.223148976477109e-06	6.291247e+00	1.489483e+00	9.934301e+00
5.223246929431326e-06	6.291157e+00	1.489502e+00	9.934031e+00
5.223442835339760e-06	6.290956e+00	1.489532e+00	9.933431e+00
5.223834647156627e-06	6.290540e+00	1.489567e+00	9.932198e+00
5.224618270790363e-06	6.289685e+00	1.489567e+00	9.929671e+00
5.225618270790364e-06	6.288531e+00	1.489464e+00	9.926262e+00
5.226618270790364e-06	6.287251e+00	1.489250e+00	9.922480e+00
5.227618270790363e-06	6.285751e+00	1.488930e+00	9.918036e+00
5.228618270790364e-06	6.283857e+00	1.488499e+00	9.912427e+00
5.229618270790363e-06	6.281204e+00	1.487915e+00	9.904572e+00
5.230618270790364e-06	6.276699e+00	1.487061e+00	9.891232e+00
5.231618270790363e-06	6.260886e+00	1.485245e+00	9.844304e+00
5.232618270790364e-06	6.223083e+00	1.481750e+00	9.732012e+00
5.232743270790363e-06	6.213272e+00	1.480930e+00	9.702861e+00
5.232993270790364e-06	6.184612e+00	1.478291e+00	9.617835e+00
5.233493270790363e-06	6.119799e+00	1.470150e+00	9.426030e+00
5.234493270790364e-06	5.941316e+00	1.445305e+00	8.897786e+00
5.235101288001484e-06	5.778028e+00	1.422287e+00	8.414981e+00
5.235542331248807e-06	5.664280e+00	1.399574e+00	8.080556e+00
5.235970417401340e-06	5.570035e+00	1.374393e+00	7.803813e+00
5.236259204028006e-06	5.469571e+00	1.355576e+00	7.506520e+00
5.236537612076636e-06	5.308491e+00	1.333557e+00	7.029852e+00
5.236932960065613e-06	4.942801e+00	1.292400e+00	5.949293e+00
5.237294711906195e-06	4.346792e+00	1.233681e+00	4.195269e+00
5.237847466469834e-06	2.752859e+00	1.080822e+00	-4.483502e-01
5.238394971313058e-06	4.827271e-01	8.613091e-01	-7.006403e+00
